Year,URBANISATION,Value
2000,,13.27925
2000,R,0.0
2000,U,30.2289
2001,,13.55671
2001,R,0.0
2001,U,30.39552
2002,,14.51648
2002,R,0.18335
2002,U,31.84129
2003,,15.7731
2003,R,0.87134
2003,U,33.301
2004,,17.0599
2004,R,1.58229
2004,U,34.77466
2005,,18.3754
2005,R,2.31619
2005,U,36.26227
2006,,19.72045
2006,R,3.07303
2006,U,37.76383
2007,,21.09455
2007,R,3.85282
2007,U,39.27933
2008,,22.49754
2008,R,4.65556
2008,U,40.80879
2009,,23.92815
2009,R,5.48125
2009,U,42.35218
2010,,25.38766
2010,R,6.32989
2010,U,43.90953
2011,,26.87477
2011,R,7.20148
2011,U,45.48082
2012,,28.38889
2012,R,8.09602
2012,U,47.06606
2013,,29.92901
2013,R,9.0135
2013,U,48.66525
2014,,31.49485
2014,R,9.95394
2014,U,50.27839
2015,,33.08617
2015,R,10.91732
2015,U,51.90547
2016,,34.70269
2016,R,11.90365
2016,U,53.5465
2017,,36.34375
2017,R,12.91293
2017,U,55.20148
2018,,38.00905
2018,R,13.94516
2018,U,56.8704
2019,,39.6979
2019,R,15.00034
2019,U,58.55327
2020,,41.41045
2020,R,16.07846
2020,U,60.25009
