Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2021,A,0,_L_GH_060301_01,,,_L_GH_Sewerage,PT,,2.3
2021,A,0,_L_GH_060301_01,,U,_L_GH_Sewerage,PT,,3.2
2021,A,0,_L_GH_060301_01,,R,_L_GH_Sewerage,PT,,0.9
2021,A,0,_L_GH_060301_01,,,_L_GH_Soakaway,PT,,10.6
2021,A,0,_L_GH_060301_01,,U,_L_GH_Soakaway,PT,,13.7
2021,A,0,_L_GH_060301_01,,R,_L_GH_Soakaway,PT,,5.8
2021,A,0,_L_GH_060301_01,,,_L_GH_gutter,PT,,27.3
2021,A,0,_L_GH_060301_01,,U,_L_GH_gutter,PT,,38.5
2021,A,0,_L_GH_060301_01,,R,_L_GH_gutter,PT,,10.0
2021,A,0,_L_GH_060301_01,,,_L_GH_ground,PT,,70.6
2021,A,0,_L_GH_060301_01,,U,_L_GH_ground,PT,,58.7
2021,A,0,_L_GH_060301_01,,R,_L_GH_ground,PT,,88.9
