Year,REF_AREA,URBANISATION,GeoCode,Value
2013,,,,22.3
2017,,,,26.7
2018,,,,28.0
2021,,,,32.3
2021,1,,1,36.3
2021,2,,2,35.1
2021,3,,3,70.7
2021,4,,4,29.1
2021,5,,5,30.1
2021,6,,6,36.2
2021,7,,7,13.1
2021,8,,8,15.1
2021,9,,9,21.7
2021,10,,10,11.2
2021,11,,11,5.5
2021,12,,12,6.9
2021,13,,13,2.3
2021,14,,14,1.8
2021,15,,15,9.7
2021,16,,16,7.1
2021,,U,,49.1
2021,1,U,1,54.8
2021,2,U,2,49.2
2021,3,U,3,73.2
2021,4,U,4,47.4
2021,5,U,5,44.9
2021,6,U,6,49.0
2021,7,U,7,29.1
2021,8,U,8,26.0
2021,9,U,9,32.1
2021,10,U,10,18.9
2021,11,U,11,10.5
2021,12,U,12,13.3
2021,13,U,13,6.7
2021,14,U,14,4.8
2021,15,U,15,29.3
2021,16,U,16,23.0
2021,,R,,10.9
2021,1,R,1,17.1
2021,2,R,2,16.0
2021,3,R,3,43.3
2021,4,R,4,16.3
2021,5,R,5,15.2
2021,6,R,6,16.5
2021,7,R,7,6.5
2021,8,R,8,5.2
2021,9,R,9,7.4
2021,10,R,10,2.9
2021,11,R,11,3.2
2021,12,R,12,1.2
2021,13,R,13,0.5
2021,14,R,14,0.5
2021,15,R,15,3.4
2021,16,R,16,1.7
