Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2016,IS_RDP_FRGVOL,MOT_AIR,T,47677.0
2017,IS_RDP_FRGVOL,MOT_AIR,T,50360.0
2018,IS_RDP_FRGVOL,MOT_AIR,T,52390.0
2019,IS_RDP_FRGVOL,MOT_AIR,T,49846.0
2020,IS_RDP_FRGVOL,MOT_AIR,T,43428.0
2016,IS_RDP_PFVOL,MOT_RAI,NUMBER,586650.0
2017,IS_RDP_PFVOL,MOT_RAI,NUMBER,9138000.0
2018,IS_RDP_PFVOL,MOT_RAI,NUMBER,630000.0
2019,IS_RDP_PFVOL,MOT_RAI,NUMBER,1940000.0
2016,IS_RDP_FRGVOL,MOT_RAI,T,399.82
2017,IS_RDP_FRGVOL,MOT_RAI,T,40441.0
2018,IS_RDP_FRGVOL,MOT_RAI,T,44620.0
2019,IS_RDP_FRGVOL,MOT_RAI,T,35660.0
2016,IS_RDP_PORFVOL,MOT_SEA,T,942000.0
2017,IS_RDP_PORFVOL,MOT_SEA,T,1009755.0
2018,IS_RDP_PORFVOL,MOT_SEA,T,1056785.0
2019,IS_RDP_PORFVOL,MOT_SEA,T,1048377.0
2016,IS_RDP_FRGVOL,MOT_SEA,T,19000000.0
2017,IS_RDP_FRGVOL,MOT_SEA,T,22100000.0
2018,IS_RDP_FRGVOL,MOT_SEA,T,25500000.0
2019,IS_RDP_FRGVOL,MOT_SEA,T,28000000.0
2016,IS_RDP_PFVOL,MOT_IWW,NUMBER,492798.0
2017,IS_RDP_PFVOL,MOT_IWW,NUMBER,798370.0
2018,IS_RDP_PFVOL,MOT_IWW,NUMBER,846892.0
2019,IS_RDP_PFVOL,MOT_IWW,NUMBER,889225.0
2020,IS_RDP_PFVOL,MOT_IWW,NUMBER,871144.0
2016,IS_RDP_FRGVOL,MOT_IWW,T,63000.0
2017,IS_RDP_FRGVOL,MOT_IWW,T,92000.0
2018,IS_RDP_FRGVOL,MOT_IWW,T,147000.0
2019,IS_RDP_FRGVOL,MOT_IWW,T,96000.0
2020,IS_RDP_FRGVOL,MOT_IWW,T,105045.0
2016,_L_GH_090102_01,MOT_AIR,NUMBER,421986.0
2017,_L_GH_090102_01,MOT_AIR,NUMBER,483261.0
2018,_L_GH_090102_01,MOT_AIR,NUMBER,418610.0
2019,_L_GH_090102_01,MOT_AIR,NUMBER,690314.0
2020,_L_GH_090102_01,MOT_AIR,NUMBER,423748.0
2016,_L_GH_090102_02,MOT_AIR,NUMBER,1746699.0
2017,_L_GH_090102_02,MOT_AIR,NUMBER,1811428.0
2018,_L_GH_090102_02,MOT_AIR,NUMBER,1975803.0
2019,_L_GH_090102_02,MOT_AIR,NUMBER,2110593.0
2020,_L_GH_090102_02,MOT_AIR,NUMBER,702651.0
