Year,Value,UNIT_MEASURE,SERIES
2016,1.0,PT,_L_GH_010a01_01
2017,1.1,PT,_L_GH_010a01_01
2018,0.51,PT,_L_GH_010a01_01
2019,0.7,PT,_L_GH_010a01_01
2020,0.71,PT,_L_GH_010a01_01
2019,145.52,_L_GH_MCEDI,_L_GH_010a01_04
2019,1.75,_L_GH_MCEDI,_L_GH_010a01_05
2019,194.21,_L_GH_MCEDI,_L_GH_010a01_06
2019,1.89,_L_GH_MCEDI,_L_GH_010a01_07
2019,26.35,_L_GH_MCEDI,_L_GH_010a01_08
2019,1.14,_L_GH_MCEDI,_L_GH_010a01_09
2019,12.75,_L_GH_MCEDI,_L_GH_010a01_10
2019,383.61,_L_GH_MCEDI,_L_GH_010a01_02
2019,100.0,PT,_L_GH_010a01_03
