Year,Value,SERIES
2015,63.59,_L_GH_140501_01
2016,63.99,_L_GH_140501_01
2017,62.99,_L_GH_140501_01
2018,62.17,_L_GH_140501_01
2019,58.93,_L_GH_140501_01
2015,53.68,_L_GH_140501_02
2016,53.03,_L_GH_140501_02
2017,52.66,_L_GH_140501_02
2018,52.75,_L_GH_140501_02
2019,58.61,_L_GH_140501_02
2015,53.68,_L_GH_140501_03
2016,53.03,_L_GH_140501_03
2017,52.66,_L_GH_140501_03
2018,52.75,_L_GH_140501_03
2019,58.61,_L_GH_140501_03
2015,47.42,_L_GH_140501_05
2016,47.29,_L_GH_140501_05
2017,47.33,_L_GH_140501_05
2018,47.64,_L_GH_140501_05
2019,47.6,_L_GH_140501_05
2015,68.25,_L_GH_140501_06
2016,75.8,_L_GH_140501_06
2017,67.58,_L_GH_140501_06
2018,60.28,_L_GH_140501_06
2019,4.66,_L_GH_140501_06
2015,99.77,_L_GH_140501_07
2016,99.77,_L_GH_140501_07
2017,99.77,_L_GH_140501_07
2018,99.77,_L_GH_140501_07
2019,99.77,_L_GH_140501_07
2015,99.86,_L_GH_140501_08
2016,99.86,_L_GH_140501_08
2017,99.86,_L_GH_140501_08
2018,99.86,_L_GH_140501_08
2019,99.86,_L_GH_140501_08
2015,94.68,_L_GH_140501_09
2016,94.68,_L_GH_140501_09
2017,94.68,_L_GH_140501_09
2018,94.68,_L_GH_140501_09
2019,94.68,_L_GH_140501_09
2015,89.35,_L_GH_140501_10
2016,89.35,_L_GH_140501_10
2017,89.35,_L_GH_140501_10
2018,89.35,_L_GH_140501_10
2019,89.36,_L_GH_140501_10
2015,100.0,_L_GH_140501_11
2016,100.0,_L_GH_140501_11
2017,100.0,_L_GH_140501_11
2018,100.0,_L_GH_140501_11
2019,100.0,_L_GH_140501_11
2015,17.48,_L_GH_140501_12
2016,15.65,_L_GH_140501_12
2017,14.47,_L_GH_140501_12
2018,14.81,_L_GH_140501_12
2019,15.42,_L_GH_140501_12
2015,37.72,_L_GH_140501_13
2016,36.7,_L_GH_140501_13
2017,36.68,_L_GH_140501_13
2018,36.64,_L_GH_140501_13
2019,36.69,_L_GH_140501_13
2015,72.74,_L_GH_140501_14
2016,70.7,_L_GH_140501_14
2017,70.67,_L_GH_140501_14
2018,70.58,_L_GH_140501_14
2019,71.94,_L_GH_140501_14
2015,2.7,_L_GH_140501_15
2016,2.69,_L_GH_140501_15
2017,2.69,_L_GH_140501_15
2018,2.7,_L_GH_140501_15
2019,1.45,_L_GH_140501_15
2015,31.92,_L_GH_140501_16
2016,32.05,_L_GH_140501_16
2017,31.68,_L_GH_140501_16
2018,31.27,_L_GH_140501_16
2019,39.96,_L_GH_140501_16
2015,85.1,_L_GH_140501_17
2016,85.04,_L_GH_140501_17
2017,85.15,_L_GH_140501_17
2018,83.99,_L_GH_140501_17
2019,92.08,_L_GH_140501_17
2015,90.97,_L_GH_140501_18
2016,91.17,_L_GH_140501_18
2017,91.6,_L_GH_140501_18
2018,89.66,_L_GH_140501_18
2019,90.64,_L_GH_140501_18
2015,79.24,_L_GH_140501_19
2016,78.9,_L_GH_140501_19
2017,78.69,_L_GH_140501_19
2018,78.31,_L_GH_140501_19
2019,93.53,_L_GH_140501_19
