Year,Value,UNIT_MEASURE,SERIES
2013,46,IX,_L_GH_160502_01
2014,48,IX,_L_GH_160502_01
2015,47,IX,_L_GH_160502_01
2016,43,IX,_L_GH_160502_01
2017,40,IX,_L_GH_160502_01
2018,41,IX,_L_GH_160502_01
2019,41,IX,_L_GH_160502_01
2020,43,IX,_L_GH_160502_01
2013,63,_L_GH_RANK,_L_GH_160502_02
2014,61,_L_GH_RANK,_L_GH_160502_02
2015,56,_L_GH_RANK,_L_GH_160502_02
2016,70,_L_GH_RANK,_L_GH_160502_02
2017,81,_L_GH_RANK,_L_GH_160502_02
2018,78,_L_GH_RANK,_L_GH_160502_02
2019,80,_L_GH_RANK,_L_GH_160502_02
2020,75,_L_GH_RANK,_L_GH_160502_02
