Year,Value,GeoCode,SERIES
1990,760.0,,_L_GH_030101_01
2007,580.0,,_L_GH_030101_01
2017,310.0,,_L_GH_030101_01
2010,485.0,,_L_GH_030101_02
2021,301.0,,_L_GH_030101_02
2007,224.0,,_L_GH_030101_03
2008,200.0,,_L_GH_030101_03
2009,170.0,,_L_GH_030101_03
2010,163.0,,_L_GH_030101_03
2011,195.0,,_L_GH_030101_03
2012,152.0,,_L_GH_030101_03
2013,155.0,,_L_GH_030101_03
2014,144.0,,_L_GH_030101_03
2015,142.0,,_L_GH_030101_03
2016,151.0,,_L_GH_030101_03
2017,147.0,,_L_GH_030101_03
2018,128.6,,_L_GH_030101_03
2019,117.6,,_L_GH_030101_03
2020,109.2,,_L_GH_030101_03
2021,96.8,,_L_GH_030101_03
