Value,en,Disaggregation combinations using this value,Number of indicators
_L_GH_ANGDEN,Angola dentex,1,1
_L_GH_BURRITTO,Burritto,1,1
_L_GH_CASFISH,Cassava fish,1,1
_L_GH_Cassava,Cassava,1,1
_L_GH_CHUBMACK,Chub mackerel,1,1
_L_GH_EUROANC,European anchovy,1,1
_L_GH_Fish_Artisanal,Fish(Artisanal),1,1
_L_GH_Fish_Marine,Fish(Marine),1,1
_L_GH_FLATSAR,Flat sardinella,1,1
_L_GH_REDMUL,Red Mullet,1,1
_L_GH_REDPAN,Red Pandora,1,1
_L_GH_ROUSAR,Round sardinella,1,1
_L_GH_Yam,Yam,1,1
CPC2_1_112,Maize,1,1
CPC2_1_113,Rice,1,1
CPC2_1_114,Sorghum,1,1
