Value,en,Disaggregation combinations using this value,Number of indicators
01_o,Western,15,9
02_o,Central,15,9
03_o,Greater Accra,15,9
04_o,Volta,15,9
05_o,Eastern,15,9
06_o,Ashanti,15,9
07_o,Brong Ahafo,15,9
08_o,Northern,15,9
09_o,Upper East,15,9
1,Western,35,6
10,Bono East,35,6
10_o,Upper West,15,9
11,Oti,35,6
12,Northern,35,6
13,Savannah,35,6
14,North East,35,6
15,Upper East,35,6
16,Upper West,35,6
2,Central,35,6
3,Greater Accra,35,6
4,Volta,35,6
5,Eastern,35,6
6,Ashanti,35,6
7,Western North,35,6
8,Ahafo,35,6
9,Bono,35,6
_L_GH_Coastal,Coastal Zone,1,1
_L_GH_Forest,Forest Zone,1,1
_L_GH_Savannah,Savannah Zone,1,1
