Value,en,Disaggregation combinations using this value,Number of indicators
Ahafo,Ahafo,35,6
Ashanti,Ashanti,49,14
Bono East,Bono East,35,6
Bono,Bono,35,6
Brong Ahafo,Brong Ahafo,15,9
Central,Central,49,14
Coastal Zone,Coastal Zone,1,1
Eastern,Eastern,49,14
Forest Zone,Forest Zone,1,1
Greater Accra,Greater Accra,49,14
North East,North East,35,6
Northern,Northern,49,14
Oti,Oti,35,6
Savannah Zone,Savannah Zone,1,1
Savannah,Savannah,35,6
Upper East,Upper East,49,14
Upper West,Upper West,49,14
Volta,Volta,49,14
Western North,Western North,35,6
Western,Western,49,14
