Value,en,Disaggregation combinations using this value,Number of indicators
Agriculture orientation index for government expenditures [2.a.1],Agriculture orientation index for government expenditures [2.a.1],1,1
Agriculture share of Government Expenditure [2.a.1],Agriculture share of Government Expenditure [2.a.1],1,1
Agriculture value added share of GDP [2.a.1],Agriculture value added share of GDP [2.a.1],1,1
"Air transport, domestic passengers carried","Air transport, domestic passengers carried",1,1
"Air transport, international passengers carried","Air transport, international passengers carried",1,1
Average of 13 International Health Regulations (IHR) core capacities [3.d.1],Average of 13 International Health Regulations (IHR) core capacities [3.d.1],1,1
Cash transfer coverage of extremely poor households under Livelihood Empowerment Against Poverty (LEAP) programme,Cash transfer coverage of extremely poor households under Livelihood Empowerment Against Poverty (LEAP) programme,1,1
Census-based Maternal mortality ratio [3.1.1],Census-based Maternal mortality ratio [3.1.1],1,1
Contribution of hotel and restaurant sub-sector to GDP,Contribution of hotel and restaurant sub-sector to GDP,1,1
Corruption Perception Index Rank,Corruption Perception Index Rank,1,1
Corruption Perception Index score,Corruption Perception Index score,1,1
Doctor to population ratio,Doctor to population ratio,1,1
"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)","Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)",1,1
"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)","Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)",1,1
Enrolment for National Functional Literacy Programme,Enrolment for National Functional Literacy Programme,3,1
Enrolment in Private Technical and Vocational Institutions,Enrolment in Private Technical and Vocational Institutions,1,1
Enrolment in Public Technical and Vocational Institutions,Enrolment in Public Technical and Vocational Institutions,3,1
Enrolment in Technical and Vocational Institutions,Enrolment in Technical and Vocational Institutions,1,1
Enrolment in TVET Programmes in Private Senior High Technical Schools as a share of total enrolment,Enrolment in TVET Programmes in Private Senior High Technical Schools as a share of total enrolment,1,1
Enrolment in TVET Programmes in Senior High Technical Schools,Enrolment in TVET Programmes in Senior High Technical Schools,3,1
Foreign direct investment (FDI) inflows as a proportion of Gross National Income [17.3.1],Foreign direct investment (FDI) inflows as a proportion of Gross National Income [17.3.1],1,1
Freight volume (tonne kilometres) [9.1.2],Freight volume (tonne kilometres) [9.1.2],4,1
Growth rate of hotel and restaurant sub-sector,Growth rate of hotel and restaurant sub-sector,1,1
"Human rights cases, by type (16.a.1)","Human rights cases, by type (16.a.1)",5,1
Human rights complains (16.a.1),Human rights complains (16.a.1),2,1
"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]","International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",13,1
Manufacturing value added as a proportion of GDP [9.2.1],Manufacturing value added as a proportion of GDP [9.2.1],1,1
Manufacturing value added per capita [9.2.1],Manufacturing value added per capita [9.2.1],1,1
Number of active mobile money accounts,Number of active mobile money accounts,1,1
"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]","Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",1,1
Number of Classes for National Functional Literacy Programme,Number of Classes for National Functional Literacy Programme,1,1
"Number of commercial bank branches per 100,000 adults [8.10.1]","Number of commercial bank branches per 100,000 adults [8.10.1]",1,1
Number of containers by marine transport,Number of containers by marine transport,1,1
Number of new HIV infections [3.3.1],Number of new HIV infections [3.3.1],1,1
Number of Private Technical and Vocational Institutions,Number of Private Technical and Vocational Institutions,1,1
Number of Public Technical and Vocational Institutions,Number of Public Technical and Vocational Institutions,3,1
Number of registered mobile money accounts,Number of registered mobile money accounts,1,1
Number of Senior High Technical Schools with TVET Programmes,Number of Senior High Technical Schools with TVET Programmes,3,1
Number of Technical and Vocational Institutions,Number of Technical and Vocational Institutions,1,1
Nurse to population ratio,Nurse to population ratio,1,1
Official Development Assistance (ODA) inflows as a percentage of national budget,Official Development Assistance (ODA) inflows as a percentage of national budget,1,1
Passenger volume (passenger kilometres) [9.1.2],Passenger volume (passenger kilometres) [9.1.2],2,1
Percentage of children engaged in child labour,Percentage of children engaged in child labour,5,1
Percentage of children engaged in hazardous forms of child labour,Percentage of children engaged in hazardous forms of child labour,5,1
Percentage of Female share in Enrolment for National Functional Literacy Programme,Percentage of Female share in Enrolment for National Functional Literacy Programme,1,1
Prevalence of moderate or severe food insecurity in the population [2.1.2],Prevalence of moderate or severe food insecurity in the population [2.1.2],13,1
Prevalence of severe food insecurity in the population [2.1.2],Prevalence of severe food insecurity in the population [2.1.2],13,1
Proportion of basic school students under Ghana School Feeding Programme (GSFP),Proportion of basic school students under Ghana School Feeding Programme (GSFP),1,1
