Value,en,Disaggregation combinations using this value,Number of indicators
Angola dentex,Angola dentex,1,1
Burritto,Burritto,1,1
Cassava fish,Cassava fish,1,1
Cassava,Cassava,1,1
Chub mackerel,Chub mackerel,1,1
European anchovy,European anchovy,1,1
Fish(Artisanal),Fish(Artisanal),1,1
Fish(Marine),Fish(Marine),1,1
Flat sardinella,Flat sardinella,1,1
Maize,Maize,1,1
Red Mullet,Red Mullet,1,1
Red Pandora,Red Pandora,1,1
Rice,Rice,1,1
Round sardinella,Round sardinella,1,1
Sorghum,Sorghum,1,1
Yam,Yam,1,1
